sort,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
None ,0.439,13.19,1.428,3.442,1.59,1.484,1.265
Height ▲,0.444,10.343,1.367,2.474,1.149,0.921,0.897
Height ▼,0.445,10.367,1.369,2.465,1.147,0.91,0.896
Width ▲,0.445,10.374,1.367,2.476,1.151,0.94,0.896
Width ▼,0.444,10.475,1.37,2.466,1.147,0.939,0.899
