version,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
1,53.263,283.977,159.031,177.772,81.821,80.399,80.043
2,53.263,558.263,285.263,326.263,558.263,356.263,347.263
3,53.521,405.301,184.502,207.782,156.367,149.116,139.867
4,53.536,354.488,183.127,206.254,115.145,108.296,106.469
