version,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
1,29.781,302.882,29.881,302.781,302.787,302.785,92.787
2,29.781,302.882,29.881,302.781,302.787,302.785,92.787
3,29.8,168.061,30,180.213,60.99,66.086,57.208
