block,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
512,0.206,7.603,1.216,1.247,0.631,0.467,0.471
1024,0.146,4.841,0.743,0.888,0.45,0.334,0.336
