sort,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
None ,1.325,2.947,1.597,1.619,1.69,1.644,1.657
Height ▲,3.022,5.458,3.376,3.396,3.46,3.436,3.477
Height ▼,3.039,5.407,3.388,3.403,3.439,3.424,3.483
Width ▲,3.03,6.131,3.398,3.425,3.458,3.459,3.494
Width ▼,3.033,5.297,3.375,3.418,3.453,3.441,3.479
