version,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
1,0.439,12.312,1.367,2.794,1.877,1.638,1.014
2,0.439,12.364,1.374,2.798,1.877,1.635,1.016
3,0.444,10.343,1.388,2.465,1.147,0.91,0.896
