version,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
1,0.146,6.797,0.743,1.192,1.138,1.016,0.456
2,0.148,6.895,0.758,1.204,1.135,1.01,0.462
3,0.15,4.841,0.75,0.888,0.45,0.334,0.336
