version,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
1,58.531,604.632,58.632,604.531,604.537,604.535,184.537
2,58.531,604.632,58.632,604.531,604.537,604.535,184.537
3,58.55,334.966,58.75,359.377,120.943,131.189,113.374
