block,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
32,0.257,9.075,0.548,1.517,2.153,0.742,0.696
64,0.248,8.815,0.545,1.5,2.156,0.735,0.702
128,0.248,8.355,0.545,1.497,2.105,0.722,0.682
256,0.259,9.053,0.55,1.514,2.327,0.67,0.632
512,0.267,10.089,0.562,1.544,3.312,0.66,0.722
1024,0.316,9.965,0.613,1.638,5.431,1.025,1.048
