block,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
512,0.664,20.91,3.146,3.869,1.894,1.444,1.44
1024,0.439,10.343,1.367,2.465,1.147,0.91,0.896
