version,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
1,5.93,7.257,6.627,6.706,6.762,6.675,6.198
2,5.985,7.3,6.603,6.676,6.658,6.702,6.161
3,6.174,6.967,6.659,6.56,6.251,6.363,6.293
