version,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
1,0.493,15.329,1.273,3.026,3.475,1.079,1.101
2,0.248,8.355,0.545,1.497,2.105,0.66,0.632
3,0.249,8.427,0.547,1.502,2.112,0.661,0.636
4,0.252,8.409,0.546,1.504,2.127,0.661,0.642
