version,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
1,105.513,566.925,317.034,354.532,162.588,159.747,159.035
2,105.513,1115.513,569.513,651.513,1115.513,711.513,693.513
3,105.771,809.55,367.724,414.292,311.595,297.848,278.65
4,105.786,707.85,364.956,411.222,228.997,215.484,211.654
