sort,DAT 0,DAT 1,DAT 2,DAT 3,DAT 4,DAT 5,DAT 6
None ,0.248,26.203,1.273,2.973,9.776,2.886,2.575
Height ▲,0.254,9.18,0.551,1.551,2.322,0.868,0.862
Height ▼,0.254,8.355,0.545,1.497,2.162,0.66,0.696
Width ▲,0.254,10.752,0.55,1.551,2.279,0.975,0.848
Width ▼,0.254,9.96,0.545,1.497,2.105,0.811,0.632
